CLASS	A	B	C	D	E	F	G	H	I	J	K	L	M	N
C	-2.254413499	-1.292129305	2.059525933	2.821588914	-4.410203569	1.35631841	-0.591009066	3.948078634	0.749807494	0.02231796	5.015993112	26.41	20.1425	-0.713914194
C	-2.254413499	-1.292129305	1.35631841	0.02231796	5.015993112	3.948078634	2.059525933	-4.410203569	-0.591009066	2.821588914	0.749807494	27.37	23.9175	-2.015129118
C	-2.254413499	-4.410203569	0.749807494	5.015993112	-1.292129305	1.35631841	2.821588914	3.948078634	-0.591009066	0.02231796	2.059525933	24.56	24.025	-2.201567024
C	-0.591009066	-4.410203569	2.059525933	-2.254413499	2.821588914	0.02231796	5.015993112	0.749807494	-1.292129305	2.821588914	1.35631841	24.15	22.96333333	-1.560199873
C	-1.292129305	-0.591009066	3.948078634	2.059525933	-4.410203569	0.749807494	5.015993112	0.749807494	-2.254413499	2.821588914	0.02231796	23.33	23.51083333	-2.016626702
C	0.749807494	2.059525933	5.015993112	-2.254413499	-4.410203569	1.35631841	-1.292129305	-0.591009066	0.02231796	3.948078634	2.821588914	26.79	20.43666667	-0.964688048
C	1.35631841	-1.292129305	-2.254413499	2.821588914	5.015993112	0.749807494	3.948078634	0.02231796	-4.410203569	-0.591009066	2.059525933	39.51285141	31.29521407	-1.937347923
C	1.35631841	-1.292129305	-2.254413499	5.015993112	2.821588914	0.749807494	2.059525933	0.02231796	-4.410203569	-0.591009066	3.948078634	31.15140052	28.68734719	-2.220089044
C	2.821588914	-4.410203569	-1.292129305	5.015993112	1.35631841	0.749807494	2.059525933	-0.591009066	-2.254413499	0.02231796	3.948078634	27.09660104	26.1687746	-2.419507172
C	2.059525933	-1.292129305	-0.591009066	3.948078634	5.015993112	0.749807494	2.821588914	0.02231796	-4.410203569	-2.254413499	1.35631841	36.02758082	30.49815071	-2.033068977
C	1.35631841	-0.591009066	-1.292129305	3.948078634	5.015993112	0.02231796	2.821588914	0.749807494	-4.410203569	-2.254413499	2.059525933	29.77002855	26.84475985	-2.083034178
C	0.749807494	-1.292129305	-2.254413499	3.948078634	5.015993112	1.35631841	2.821588914	0.02231796	-4.410203569	-0.591009066	2.059525933	26.28577467	24.8803744	-2.212988987
C	2.059525933	0.749807494	-0.591009066	5.015993112	3.948078634	-1.292129305	2.821588914	-2.254413499	-4.410203569	0.02231796	1.35631841	39.66375531	33.58320145	-1.754399076
C	2.059525933	-1.292129305	-2.254413499	2.821588914	5.015993112	0.02231796	3.948078634	-0.591009066	-4.410203569	0.749807494	1.35631841	30.73868367	27.33631207	-2.060658203
C	2.059525933	-0.591009066	-2.254413499	3.948078634	5.015993112	0.749807494	2.821588914	0.02231796	-4.410203569	-1.292129305	1.35631841	30.06578061	25.98649138	-2.12940925
C	2.059525933	-1.292129305	0.02231796	3.948078634	5.015993112	0.749807494	2.821588914	-0.591009066	-4.410203569	-2.254413499	1.35631841	29.39870928	25.4518809	-2.056300726
C	-0.591009066	-2.254413499	-1.292129305	3.948078634	5.015993112	0.02231796	2.821588914	1.35631841	-4.410203569	0.749807494	2.059525933	30.0585134	25.7744442	-2.06862619
C	2.059525933	-1.292129305	0.02231796	2.821588914	5.015993112	-2.254413499	3.948078634	-0.591009066	-4.410203569	0.749807494	1.35631841	32.49349576	30.22322916	-1.950030796
C	1.35631841	0.02231796	-2.254413499	2.821588914	5.015993112	-1.292129305	3.948078634	-0.591009066	-4.410203569	0.749807494	2.059525933	35.9536124	30.70986041	-2.099116503
C	2.821588914	-1.292129305	-2.254413499	5.015993112	2.059525933	1.35631841	0.749807494	0.02231796	-4.410203569	-0.591009066	3.948078634	35.15112181	32.02417662	-2.442721038
C	2.821588914	-0.591009066	-2.254413499	3.948078634	1.35631841	0.749807494	2.059525933	-4.410203569	0.02231796	-1.292129305	3.948078634	37.75863011	33.65008353	-2.069175639
C	2.821588914	0.02231796	-2.254413499	5.015993112	3.948078634	0.749807494	2.059525933	-1.292129305	-4.410203569	-0.591009066	1.35631841	35.294398	29.78069854	-1.697377775
C	0.749807494	-2.254413499	-0.591009066	5.015993112	2.821588914	2.059525933	1.35631841	-1.292129305	-4.410203569	0.02231796	3.948078634	20.05154587	21.86441065	-2.169733874
C	2.059525933	0.749807494	1.35631841	2.821588914	5.015993112	-1.292129305	3.948078634	-2.254413499	-4.410203569	0.02231796	-0.591009066	30.59696334	29.51319088	-1.797584252
C	-0.591009066	3.948078634	-2.254413499	2.059525933	0.749807494	2.821588914	1.35631841	-4.410203569	5.015993112	-1.292129305	0.02231796	2.653801084	25.73849096	-1.072488753
H	-2.254413499	-0.591009066	1.35631841	5.015993112	3.948078634	-1.292129305	2.059525933	0.749807494	-4.410203569	0.02231796	2.821588914	29.17	33.12666667	-1.936984503
H	-0.591009066	-2.254413499	1.35631841	5.015993112	3.948078634	0.749807494	2.059525933	0.02231796	-4.410203569	-1.292129305	2.821588914	25.3	29.69333333	-2.035314459
H	-2.254413499	-0.591009066	2.059525933	5.015993112	2.821588914	-1.292129305	1.35631841	0.02231796	-4.410203569	0.749807494	3.948078634	23.42	29.05083333	-1.94239462
H	2.059525933	-4.410203569	0.749807494	5.015993112	2.821588914	1.35631841	0.02231796	-0.591009066	-1.292129305	-2.254413499	3.948078634	25.858	28.45666667	-2.259202797
H	0.749807494	-1.292129305	1.35631841	5.015993112	2.821588914	0.02231796	2.059525933	-0.591009066	-4.410203569	-2.254413499	3.948078634	25.352	28.86858333	-2.176669684
H	-2.254413499	1.35631841	2.821588914	5.015993112	2.059525933	-1.292129305	0.749807494	0.02231796	-4.410203569	-0.591009066	3.948078634	25.998	30.88108333	-2.042932545
H	-1.292129305	-2.254413499	2.059525933	5.015993112	2.821588914	1.35631841	0.749807494	0.02231796	-4.410203569	-0.591009066	3.948078634	28.497	31.82025	-2.213631
H	-1.292129305	-2.254413499	0.02231796	3.948078634	5.015993112	1.35631841	2.059525933	0.749807494	-4.410203569	-0.591009066	2.821588914	31.16	32.89	-2.213002655
H	0.02231796	1.35631841	-2.254413499	2.821588914	3.948078634	0.749807494	2.059525933	-1.292129305	-4.410203569	-0.591009066	5.015993112	33.73	34.7275	-2.482779108
H	-4.410203569	-2.254413499	1.35631841	5.015993112	2.821588914	2.059525933	0.749807494	0.02231796	-0.591009066	-1.292129305	3.948078634	28.19	31.315	-2.520884555
H	2.821588914	-1.292129305	0.02231796	3.948078634	5.015993112	1.35631841	0.749807494	-0.591009066	-4.410203569	-2.254413499	2.059525933	32.86	33.07333333	-2.263597959
H	2.059525933	-1.292129305	0.02231796	2.821588914	5.015993112	1.35631841	0.749807494	-0.591009066	-4.410203569	-2.254413499	3.948078634	30.05	31.57166667	-2.16465456
H	2.059525933	-2.254413499	-1.292129305	5.015993112	2.821588914	1.35631841	0.02231796	-4.410203569	0.749807494	-0.591009066	3.948078634	29.23	28.94833333	-2.309138659
H	2.821588914	2.059525933	0.749807494	5.015993112	3.948078634	-0.591009066	0.02231796	-1.292129305	-4.410203569	-2.254413499	1.35631841	33.59	31.70833333	-2.220662158
H	2.821588914	-1.292129305	0.749807494	5.015993112	3.948078634	2.059525933	0.02231796	-0.591009066	-4.410203569	-2.254413499	1.35631841	27.76	29.75416667	-2.12910321
H	-0.591009066	1.35631841	2.059525933	5.015993112	2.821588914	-2.254413499	0.749807494	-1.292129305	-4.410203569	0.02231796	3.948078634	19.27	25.905	-1.728823369
H	-2.254413499	0.749807494	2.821588914	3.948078634	2.059525933	-1.292129305	1.35631841	-0.591009066	-4.410203569	0.02231796	5.015993112	19.21	24.40833333	-1.728694733
H	0.749807494	-4.410203569	0.02231796	5.015993112	3.948078634	2.059525933	1.35631841	-1.292129305	-0.591009066	-2.254413499	2.821588914	25.49	25.37583333	-2.195432339
H	-4.410203569	-1.292129305	3.948078634	2.059525933	0.02231796	2.821588914	1.35631841	5.015993112	-2.254413499	0.749807494	-0.591009066	11.76	33.135	-1.092197666
H	1.35631841	-2.254413499	0.749807494	3.948078634	5.015993112	0.02231796	2.059525933	-0.591009066	-4.410203569	-1.292129305	2.821588914	28.66	28.11	-1.765323432
H	2.821588914	-2.254413499	0.02231796	3.948078634	5.015993112	0.749807494	2.059525933	-0.591009066	-4.410203569	-1.292129305	1.35631841	36.1	29.88916667	-2.034642144
H	2.821588914	-2.254413499	-0.591009066	5.015993112	2.059525933	3.948078634	0.02231796	-1.292129305	0.749807494	-4.410203569	1.35631841	30.88	25.84666667	-2.062173709
H	0.749807494	-1.292129305	-0.591009066	5.015993112	3.948078634	1.35631841	2.059525933	0.02231796	-4.410203569	-2.254413499	2.821588914	28.38	29.01083333	-2.144574703
H	2.821588914	1.35631841	-0.591009066	2.059525933	3.948078634	0.02231796	3.948078634	-2.254413499	-4.410203569	-1.292129305	0.749807494	34.29	33.5625	-2.098494595
H	0.749807494	-1.292129305	0.02231796	5.015993112	3.948078634	1.35631841	2.059525933	-0.591009066	-4.410203569	-2.254413499	2.821588914	31.3	29.69333333	-2.122669262
H	2.821588914	1.35631841	-0.591009066	2.059525933	5.015993112	0.02231796	3.948078634	-2.254413499	-4.410203569	-1.292129305	0.749807494	36.67	33.6425	-1.86483162
H	0.02231796	0.749807494	2.059525933	2.821588914	-0.591009066	1.35631841	3.948078634	-2.254413499	-4.410203569	-1.292129305	5.015993112	24.46	22.54583333	-2.361456501
H	-0.591009066	-1.292129305	-2.254413499	2.821588914	2.821588914	0.02231796	0.749807494	1.35631841	-4.410203569	2.059525933	2.821588914	35.11049243	34.04152843	-2.144122955
H	2.059525933	-1.292129305	-0.591009066	3.948078634	5.015993112	0.749807494	2.821588914	0.02231796	-4.410203569	-2.254413499	1.35631841	31.33590488	27.74670856	-2.184206947
H	0.749807494	1.35631841	3.948078634	-2.254413499	2.821588914	2.059525933	-4.410203569	3.948078634	-1.292129305	-0.591009066	0.02231796	15.49179423	28.45264202	-1.250413329
C	1.35631841	-1.292129305	-2.254413499	5.015993112	2.821588914	0.749807494	2.059525933	0.02231796	-4.410203569	-0.591009066	3.948078634	28.94	29.37916667	-2.491578626
C	2.821588914	0.749807494	-1.292129305	3.948078634	5.015993112	-2.254413499	2.059525933	-0.591009066	-4.410203569	0.02231796	1.35631841	38.68	35.13416667	-2.192229486
C	2.821588914	-0.591009066	-1.292129305	5.015993112	3.948078634	0.749807494	1.35631841	0.02231796	-2.254413499	-4.410203569	2.059525933	34.76	31.7125	-2.243157011
C	5.015993112	0.02231796	-2.254413499	3.948078634	2.821588914	0.749807494	2.059525933	-1.292129305	-4.410203569	-0.591009066	1.35631841	34.01	31.875	-2.291087658
C	2.821588914	2.059525933	0.749807494	2.821588914	-2.254413499	-0.591009066	1.35631841	-1.292129305	-4.410203569	0.02231796	5.015993112	7.34	32.04333333	-1.152528975
H	-2.254413499	-0.591009066	0.02231796	3.948078634	0.749807494	2.059525933	1.35631841	2.821588914	-4.410203569	-1.292129305	5.015993112	31.681	34.1615	-2.384827716
H	-2.254413499	-1.292129305	2.059525933	5.015993112	2.821588914	0.02231796	1.35631841	-0.591009066	-4.410203569	0.749807494	3.948078634	27.433	31.147	-2.165974528
H	-2.254413499	-0.591009066	3.948078634	5.015993112	1.35631841	-1.292129305	2.059525933	0.02231796	-4.410203569	0.749807494	2.821588914	25.073	30.53666667	-1.889323046
